2009-10-19 05:06:55 status unpacked ncurses-bin 5.7+20090207-1ubuntu1
2009-10-19 05:06:55 status unpacked ncurses-bin 5.7+20090207-1ubuntu1
2009-10-19 05:06:55 install passwd <none> 1:4.1.1-6ubuntu6
2009-10-19 05:06:55 status half-installed passwd 1:4.1.1-6ubuntu6
2009-10-19 05:06:56 status unpacked passwd 1:4.1.1-6ubuntu6
2009-10-19 05:06:56 status unpacked passwd 1:4.1.1-6ubuntu6
2009-10-19 05:06:56 upgrade perl-base 5.10.0-19ubuntu1 5.10.0-19ubuntu1
2009-10-19 05:06:56 status half-configured perl-base 5.10.0-19ubuntu1
2009-10-19 05:06:56 status unpacked perl-base 5.10.0-19ubuntu1
2009-10-19 05:06:56 status half-installed perl-base 5.10.0-19ubuntu1
2009-10-19 05:06:56 status half-installed perl-base 5.10.0-19ubuntu1
2009-10-19 05:06:56 status unpacked perl-base 5.10.0-19ubuntu1
2009-10-19 05:06:57 status unpacked perl-base 5.10.0-19ubuntu1
2009-10-19 05:06:57 install procps <none> 1:3.2.7-11ubuntu2
2009-10-19 05:06:57 status half-installed procps 1:3.2.7-11ubuntu2
2009-10-19 05:06:57 status unpacked procps 1:3.2.7-11ubuntu2
2009-10-19 05:06:57 status unpacked procps 1:3.2.7-11ubuntu2
2009-10-19 05:06:57 install python-minimal <none> 2.6.2-0ubuntu1
2009-10-19 05:06:57 status half-installed python-minimal 2.6.2-0ubuntu1
2009-10-19 05:06:57 status unpacked python-minimal 2.6.2-0ubuntu1
2009-10-19 05:06:57 status unpacked python-minimal 2.6.2-0ubuntu1
2009-10-19 05:06:57 install python2.6-minimal <none> 2.6.2-0ubuntu1
2009-10-19 05:06:57 status half-installed python2.6-minimal 2.6.2-0ubuntu1
2009-10-19 05:06:58 status unpacked python2.6-minimal 2.6.2-0ubuntu1
2009-10-19 05:06:58 status unpacked python2.6-minimal 2.6.2-0ubuntu1
2009-10-19 05:06:58 install sed <none> 4.1.5-8
2009-10-19 05:06:58 status half-installed sed 4.1.5-8
2009-10-19 05:06:58 status unpacked sed 4.1.5-8
